model,prompt_id,day_1,day_2,similarity
gpt-4o-mini,8,28,29,0.9650348
gpt-4o-mini,8,29,30,0.9863877
gpt-4o-mini,9,1,2,0.9966105
gpt-4o-mini,9,2,3,0.99902767
gpt-4o-mini,9,3,4,1.0
gpt-4o-mini,9,4,5,1.0
gpt-4o-mini,9,5,6,0.8427119
gpt-4o-mini,9,6,7,0.8427119
gpt-4o-mini,9,7,8,1.0
gpt-4o-mini,9,8,9,0.99902767
gpt-4o-mini,9,9,10,1.0000001
gpt-4o-mini,9,10,11,1.0000001
gpt-4o-mini,9,11,12,1.0000001
gpt-4o-mini,9,12,13,0.9966105
gpt-4o-mini,9,13,14,0.99761987
gpt-4o-mini,9,14,15,1.0
gpt-4o-mini,9,15,16,0.99902767
gpt-4o-mini,9,16,17,0.99902767
gpt-4o-mini,9,17,18,0.99902767
gpt-4o-mini,9,18,19,0.99902767
gpt-4o-mini,9,19,20,0.99902767
gpt-4o-mini,9,20,21,0.99902767
gpt-4o-mini,9,21,22,0.99954975
gpt-4o-mini,9,22,23,1.0
gpt-4o-mini,9,23,24,0.99954975
gpt-4o-mini,9,24,25,0.99902767
gpt-4o-mini,9,25,26,0.99866927
gpt-4o-mini,9,26,27,0.99866927
gpt-4o-mini,9,27,28,0.99902767
gpt-4o-mini,9,28,29,1.0
gpt-4o-mini,9,29,30,1.0
gpt-4o-mini,10,1,2,0.93271726
gpt-4o-mini,10,2,3,0.99683654
gpt-4o-mini,10,3,4,0.9327342
gpt-4o-mini,10,4,5,0.95863813
gpt-4o-mini,10,5,6,0.95863813
gpt-4o-mini,10,6,7,1.0000001
gpt-4o-mini,10,7,8,0.93271726
gpt-4o-mini,10,8,9,0.9376444
gpt-4o-mini,10,9,10,0.9404559
gpt-4o-mini,10,10,11,0.99378526
gpt-4o-mini,10,11,12,0.9362503
gpt-4o-mini,10,12,13,0.9340007
gpt-4o-mini,10,13,14,0.9340007
gpt-4o-mini,10,14,15,0.9327342
gpt-4o-mini,10,15,16,0.93558395
gpt-4o-mini,10,16,17,0.9925218
gpt-4o-mini,10,17,18,0.93271726
gpt-4o-mini,10,18,19,0.94295275
gpt-4o-mini,10,19,20,0.94422996
gpt-4o-mini,10,20,21,0.93435824
gpt-4o-mini,10,21,22,0.93271726
gpt-4o-mini,10,22,23,0.93271726
gpt-4o-mini,10,23,24,0.9925218
gpt-4o-mini,10,24,25,0.93436253
gpt-4o-mini,10,25,26,0.96558475
gpt-4o-mini,10,26,27,0.9559165
gpt-4o-mini,10,27,28,0.9925218
gpt-4o-mini,10,28,29,0.9925218
gpt-4o-mini,10,29,30,0.9327342
gpt-4o-mini,11,1,2,0.95480275
gpt-4o-mini,11,2,3,0.97018605
gpt-4o-mini,11,3,4,0.96901476
gpt-4o-mini,11,4,5,0.9718812
gpt-4o-mini,11,5,6,0.99308556
gpt-4o-mini,11,6,7,0.9560725
gpt-4o-mini,11,7,8,0.9522897
gpt-4o-mini,11,8,9,0.968423
gpt-4o-mini,11,9,10,0.9651944
gpt-4o-mini,11,10,11,0.957945
gpt-4o-mini,11,11,12,0.97237134
gpt-4o-mini,11,12,13,0.9804238
gpt-4o-mini,11,13,14,0.96158564
gpt-4o-mini,11,14,15,0.96158564
gpt-4o-mini,11,15,16,0.9973718
gpt-4o-mini,11,16,17,0.94908667
gpt-4o-mini,11,17,18,0.9511963
gpt-4o-mini,11,18,19,0.9692373
gpt-4o-mini,11,19,20,0.9608027
gpt-4o-mini,11,20,21,0.97188616
gpt-4o-mini,11,21,22,0.94789255
gpt-4o-mini,11,22,23,0.95646906
gpt-4o-mini,11,23,24,0.95346993
gpt-4o-mini,11,24,25,0.9701311
gpt-4o-mini,11,25,26,0.97749174
gpt-4o-mini,11,26,27,0.9852772
gpt-4o-mini,11,27,28,0.9659085
gpt-4o-mini,11,28,29,0.9759344
gpt-4o-mini,11,29,30,0.9748716
gpt-4o-mini,12,1,2,0.9881415
gpt-4o-mini,12,2,3,0.93824685
gpt-4o-mini,12,3,4,0.88076997
gpt-4o-mini,12,4,5,0.9977309
gpt-4o-mini,12,5,6,0.995141
gpt-4o-mini,12,6,7,0.95146394
gpt-4o-mini,12,7,8,0.9409894
gpt-4o-mini,12,8,9,0.8948944
gpt-4o-mini,12,9,10,0.99058294
gpt-4o-mini,12,10,11,0.9583001
gpt-4o-mini,12,11,12,0.96186817
gpt-4o-mini,12,12,13,0.96302205
gpt-4o-mini,12,13,14,0.9581456
gpt-4o-mini,12,14,15,0.95893586
gpt-4o-mini,12,15,16,0.99984676
gpt-4o-mini,12,16,17,0.9882041
gpt-4o-mini,12,17,18,0.9578737
gpt-4o-mini,12,18,19,0.98851657
gpt-4o-mini,12,19,20,0.98851657
gpt-4o-mini,12,20,21,0.99372613
gpt-4o-mini,12,21,22,0.993324
gpt-4o-mini,12,22,23,0.99545336
gpt-4o-mini,12,23,24,0.96239823
gpt-4o-mini,12,24,25,0.9724599
gpt-4o-mini,12,25,26,0.9739281
gpt-4o-mini,12,26,27,0.99175805
gpt-4o-mini,12,27,28,0.9636328
gpt-4o-mini,12,28,29,0.9429997
gpt-4o-mini,12,29,30,0.9430422
gpt-4o-mini,13,1,2,0.9974666
gpt-4o-mini,13,2,3,0.98568857
gpt-4o-mini,13,3,4,0.9976021
gpt-4o-mini,13,4,5,0.99863476
gpt-4o-mini,13,5,6,0.9781961
gpt-4o-mini,13,6,7,0.9811083
gpt-4o-mini,13,7,8,0.9811083
gpt-4o-mini,13,8,9,0.9823915
gpt-4o-mini,13,9,10,0.9977116
gpt-4o-mini,13,10,11,0.9930363
gpt-4o-mini,13,11,12,0.9930363
gpt-4o-mini,13,12,13,1.0000001
gpt-4o-mini,13,13,14,1.0000001
gpt-4o-mini,13,14,15,1.0000001
gpt-4o-mini,13,15,16,1.0000001
gpt-4o-mini,13,16,17,0.9811083
gpt-4o-mini,13,17,18,1.0000001
gpt-4o-mini,13,18,19,0.9783131
gpt-4o-mini,13,19,20,1.0
gpt-4o-mini,13,20,21,0.9783131
gpt-4o-mini,13,21,22,1.0000001
gpt-4o-mini,13,22,23,1.0000001
gpt-4o-mini,13,23,24,0.9823915
gpt-4o-mini,13,24,25,0.99875355
gpt-4o-mini,13,25,26,0.99863476
gpt-4o-mini,13,26,27,1.0000001
gpt-4o-mini,13,27,28,0.9811083
gpt-4o-mini,13,28,29,0.9811083
gpt-4o-mini,13,29,30,0.9873526
gpt-4o-mini,14,1,2,0.9395673
gpt-4o-mini,14,2,3,0.6979401
gpt-4o-mini,14,3,4,1.0000001
gpt-4o-mini,14,4,5,0.7051244
gpt-4o-mini,14,5,6,0.9971603
gpt-4o-mini,14,6,7,0.9731908
gpt-4o-mini,14,7,8,0.732711
gpt-4o-mini,14,8,9,1.0000001
gpt-4o-mini,14,9,10,1.0000001
gpt-4o-mini,14,10,11,1.0000001
gpt-4o-mini,14,11,12,1.0000001
gpt-4o-mini,14,12,13,1.0000001
gpt-4o-mini,14,13,14,0.9499733
gpt-4o-mini,14,14,15,0.9499733
gpt-4o-mini,14,15,16,0.73673606
gpt-4o-mini,14,16,17,0.73673606
gpt-4o-mini,14,17,18,0.7332941
gpt-4o-mini,14,18,19,0.7164237
gpt-4o-mini,14,19,20,0.72746956
gpt-4o-mini,14,20,21,0.72746956
gpt-4o-mini,14,21,22,0.9552535
gpt-4o-mini,14,22,23,0.9552535
gpt-4o-mini,14,23,24,0.7196095
gpt-4o-mini,14,24,25,0.7409376
gpt-4o-mini,14,25,26,0.72347116
gpt-4o-mini,14,26,27,0.7448509
gpt-4o-mini,14,27,28,0.9287338
gpt-4o-mini,14,28,29,0.9287338
gpt-4o-mini,14,29,30,0.7662116
gpt-4o-mini,15,1,2,1.0000001
gpt-4o-mini,15,2,3,0.8891301
gpt-4o-mini,15,3,4,0.89433575
gpt-4o-mini,15,4,5,0.99889404
gpt-4o-mini,15,5,6,0.9876338
gpt-4o-mini,15,6,7,0.98849976
gpt-4o-mini,15,7,8,0.9945268
gpt-4o-mini,15,8,9,0.88794947
gpt-4o-mini,15,9,10,0.966243
gpt-4o-mini,15,10,11,0.96450675
gpt-4o-mini,15,11,12,0.8884443
gpt-4o-mini,15,12,13,0.9866276
gpt-4o-mini,15,13,14,0.99097025
gpt-4o-mini,15,14,15,0.9644487
gpt-4o-mini,15,15,16,0.96932673
gpt-4o-mini,15,16,17,0.989323
gpt-4o-mini,15,17,18,0.9882662
gpt-4o-mini,15,18,19,0.9999487
gpt-4o-mini,15,19,20,0.9874668
gpt-4o-mini,15,20,21,0.9995483
gpt-4o-mini,15,21,22,0.9880868
gpt-4o-mini,15,22,23,0.998597
gpt-4o-mini,15,23,24,1.0000002
gpt-4o-mini,15,24,25,0.9671366
gpt-4o-mini,15,25,26,0.96903193
gpt-4o-mini,15,26,27,0.9885858
gpt-4o-mini,15,27,28,0.99982977
gpt-4o-mini,15,28,29,0.99982977
gpt-4o-mini,15,29,30,0.99477315
claude-haiku-4-5,1,1,2,0.8586079
claude-haiku-4-5,1,2,3,0.85709333
claude-haiku-4-5,1,3,4,0.8420082
claude-haiku-4-5,1,4,5,0.888809
claude-haiku-4-5,1,5,6,0.92473906
claude-haiku-4-5,1,6,7,0.86850935
claude-haiku-4-5,1,7,8,0.86845833
claude-haiku-4-5,1,8,9,0.9057926
claude-haiku-4-5,1,9,10,0.8826657
claude-haiku-4-5,1,10,11,0.9036367
claude-haiku-4-5,1,11,12,0.91490304
claude-haiku-4-5,1,12,13,0.87371594
claude-haiku-4-5,1,13,14,0.91044873
claude-haiku-4-5,1,14,15,0.8542782
claude-haiku-4-5,1,15,16,0.92896515
claude-haiku-4-5,1,16,17,0.8986952
claude-haiku-4-5,1,17,18,0.9116187
claude-haiku-4-5,1,18,19,0.8537514
claude-haiku-4-5,1,19,20,0.8848258
claude-haiku-4-5,1,20,21,0.91937315
claude-haiku-4-5,1,21,22,0.86200243
claude-haiku-4-5,1,22,23,0.800032
claude-haiku-4-5,1,23,24,0.86219186
claude-haiku-4-5,1,24,25,0.8043015
claude-haiku-4-5,1,25,26,0.81313723
claude-haiku-4-5,1,26,27,0.86498666
claude-haiku-4-5,1,27,28,0.8851124
claude-haiku-4-5,1,28,29,0.86792046
claude-haiku-4-5,1,29,30,0.8818394
claude-haiku-4-5,2,1,2,0.9136186
claude-haiku-4-5,2,2,3,0.83636457
claude-haiku-4-5,2,3,4,0.8673913
claude-haiku-4-5,2,4,5,0.8597878
claude-haiku-4-5,2,5,6,0.8924577
claude-haiku-4-5,2,6,7,0.8426085
claude-haiku-4-5,2,7,8,0.8949989
claude-haiku-4-5,2,8,9,0.92706245
claude-haiku-4-5,2,9,10,0.7257817
claude-haiku-4-5,2,10,11,0.8004513
claude-haiku-4-5,2,11,12,0.83690417
claude-haiku-4-5,2,12,13,0.8317696
claude-haiku-4-5,2,13,14,0.80103654
claude-haiku-4-5,2,14,15,0.8363253
claude-haiku-4-5,2,15,16,0.8530897
claude-haiku-4-5,2,16,17,0.8698764
claude-haiku-4-5,2,17,18,0.8656899
claude-haiku-4-5,2,18,19,0.85774654
claude-haiku-4-5,2,19,20,0.8415698
claude-haiku-4-5,2,20,21,0.8489098
claude-haiku-4-5,2,21,22,0.9039646
claude-haiku-4-5,2,22,23,0.8716208
claude-haiku-4-5,2,23,24,0.8982625
claude-haiku-4-5,2,24,25,0.870437
claude-haiku-4-5,2,25,26,0.89821506
claude-haiku-4-5,2,26,27,0.9037851
claude-haiku-4-5,2,27,28,0.7672425
claude-haiku-4-5,2,28,29,0.82359564
claude-haiku-4-5,2,29,30,0.8099266
claude-haiku-4-5,3,1,2,0.80122733
claude-haiku-4-5,3,2,3,0.8734446
claude-haiku-4-5,3,3,4,0.8366287
claude-haiku-4-5,3,4,5,0.8611152
claude-haiku-4-5,3,5,6,0.9509263
claude-haiku-4-5,3,6,7,0.8258716
claude-haiku-4-5,3,7,8,0.8059327
claude-haiku-4-5,3,8,9,0.8480648
claude-haiku-4-5,3,9,10,0.9045173
claude-haiku-4-5,3,10,11,0.89298016
claude-haiku-4-5,3,11,12,0.8641897
claude-haiku-4-5,3,12,13,0.87539566
claude-haiku-4-5,3,13,14,0.8033072
claude-haiku-4-5,3,14,15,0.87209344
claude-haiku-4-5,3,15,16,0.82734054
claude-haiku-4-5,3,16,17,0.8298533
claude-haiku-4-5,3,17,18,0.87586963
claude-haiku-4-5,3,18,19,0.87038124
claude-haiku-4-5,3,19,20,0.863212
claude-haiku-4-5,3,20,21,0.860404
claude-haiku-4-5,3,21,22,0.89792055
claude-haiku-4-5,3,22,23,0.8662907
claude-haiku-4-5,3,23,24,0.9224788
claude-haiku-4-5,3,24,25,0.89989376
claude-haiku-4-5,3,25,26,0.88682383
claude-haiku-4-5,3,26,27,0.8996647
claude-haiku-4-5,3,27,28,0.89592123
claude-haiku-4-5,3,28,29,0.93256384
claude-haiku-4-5,3,29,30,0.92447174
claude-haiku-4-5,4,1,2,0.879101
claude-haiku-4-5,4,2,3,0.9338556
claude-haiku-4-5,4,3,4,0.9333241
claude-haiku-4-5,4,4,5,0.9230716
claude-haiku-4-5,4,5,6,0.90492046
claude-haiku-4-5,4,6,7,0.9228872
claude-haiku-4-5,4,7,8,0.9132421
claude-haiku-4-5,4,8,9,0.91000783
claude-haiku-4-5,4,9,10,0.9205936
claude-haiku-4-5,4,10,11,0.944999
claude-haiku-4-5,4,11,12,0.8803122
claude-haiku-4-5,4,12,13,0.909059
claude-haiku-4-5,4,13,14,0.9459926
claude-haiku-4-5,4,14,15,0.9113227
claude-haiku-4-5,4,15,16,0.90673196
claude-haiku-4-5,4,16,17,0.9318942
claude-haiku-4-5,4,17,18,0.94156194
claude-haiku-4-5,4,18,19,0.91649944
claude-haiku-4-5,4,19,20,0.88109803
claude-haiku-4-5,4,20,21,0.94637805
claude-haiku-4-5,4,21,22,0.8962397
claude-haiku-4-5,4,22,23,0.91653436
claude-haiku-4-5,4,23,24,0.9339928
claude-haiku-4-5,4,24,25,0.94597757
claude-haiku-4-5,4,25,26,0.92042613
claude-haiku-4-5,4,26,27,0.92196786
claude-haiku-4-5,4,27,28,0.94360733
claude-haiku-4-5,4,28,29,0.94737524
claude-haiku-4-5,4,29,30,0.93045855
claude-haiku-4-5,5,1,2,0.87122834
claude-haiku-4-5,5,2,3,0.8492418
claude-haiku-4-5,5,3,4,0.8897239
claude-haiku-4-5,5,4,5,0.8839356
claude-haiku-4-5,5,5,6,0.8605175
claude-haiku-4-5,5,6,7,0.8265471
claude-haiku-4-5,5,7,8,0.82003707
claude-haiku-4-5,5,8,9,0.85414845
claude-haiku-4-5,5,9,10,0.86048114
claude-haiku-4-5,5,10,11,0.8696265
claude-haiku-4-5,5,11,12,0.7975316
claude-haiku-4-5,5,12,13,0.7627609
claude-haiku-4-5,5,13,14,0.87813693
claude-haiku-4-5,5,14,15,0.86458665
claude-haiku-4-5,5,15,16,0.7858608
claude-haiku-4-5,5,16,17,0.7675356
claude-haiku-4-5,5,17,18,0.8353989
claude-haiku-4-5,5,18,19,0.8415785
claude-haiku-4-5,5,19,20,0.9024109
claude-haiku-4-5,5,20,21,0.8812
claude-haiku-4-5,5,21,22,0.9129515
claude-haiku-4-5,5,22,23,0.8799646
claude-haiku-4-5,5,23,24,0.9044269
claude-haiku-4-5,5,24,25,0.9067177
claude-haiku-4-5,5,25,26,0.9008077
claude-haiku-4-5,5,26,27,0.8296162
claude-haiku-4-5,5,27,28,0.87912405
claude-haiku-4-5,5,28,29,0.9153845
claude-haiku-4-5,5,29,30,0.8700695
claude-haiku-4-5,6,1,2,0.90503067
claude-haiku-4-5,6,2,3,0.93511146
claude-haiku-4-5,6,3,4,0.9504223
claude-haiku-4-5,6,4,5,0.9281001
claude-haiku-4-5,6,5,6,0.9285239
claude-haiku-4-5,6,6,7,0.8795103
claude-haiku-4-5,6,7,8,0.898518
claude-haiku-4-5,6,8,9,0.93169975
claude-haiku-4-5,6,9,10,0.9120227
claude-haiku-4-5,6,10,11,0.81834614
claude-haiku-4-5,6,11,12,0.9236357
claude-haiku-4-5,6,12,13,0.91363037
claude-haiku-4-5,6,13,14,0.8970902
claude-haiku-4-5,6,14,15,0.91696185
claude-haiku-4-5,6,15,16,0.93305516
claude-haiku-4-5,6,16,17,0.8507024
claude-haiku-4-5,6,17,18,0.924595
claude-haiku-4-5,6,18,19,0.8505696
claude-haiku-4-5,6,19,20,0.81163484
claude-haiku-4-5,6,20,21,0.81132567
claude-haiku-4-5,6,21,22,0.86711717
claude-haiku-4-5,6,22,23,0.93475735
claude-haiku-4-5,6,23,24,0.9330124
claude-haiku-4-5,6,24,25,0.92509806
claude-haiku-4-5,6,25,26,0.8915778
claude-haiku-4-5,6,26,27,0.93568814
claude-haiku-4-5,6,27,28,0.91418636
claude-haiku-4-5,6,28,29,0.91039133
claude-haiku-4-5,6,29,30,0.9013198
claude-haiku-4-5,7,1,2,0.8703345
claude-haiku-4-5,7,2,3,0.866014
claude-haiku-4-5,7,3,4,0.8762066
claude-haiku-4-5,7,4,5,0.8648017
claude-haiku-4-5,7,5,6,0.84766066
claude-haiku-4-5,7,6,7,0.84594405
claude-haiku-4-5,7,7,8,0.86630905
claude-haiku-4-5,7,8,9,0.8992466
claude-haiku-4-5,7,9,10,0.8867555
claude-haiku-4-5,7,10,11,0.84739435
claude-haiku-4-5,7,11,12,0.8677584
claude-haiku-4-5,7,12,13,0.83984774
claude-haiku-4-5,7,13,14,0.8796114
claude-haiku-4-5,7,14,15,0.8478248
claude-haiku-4-5,7,15,16,0.8394524
claude-haiku-4-5,7,16,17,0.8687165
claude-haiku-4-5,7,17,18,0.8918495
claude-haiku-4-5,7,18,19,0.8623014
claude-haiku-4-5,7,19,20,0.89477754
